depth,wavelength,luz
8.4,510,7.332333412684595e-4
8.4,683,5.416284441744631e-6
8.5,443,5.766849398183642e-4
8.5,510,7.290037501968391e-4
8.5,683,5.455474532133213e-6
8.6,443,5.720266932446438e-4
8.6,510,7.247737271549185e-4
8.6,683,5.489598017158802e-6
8.7,443,5.673882606458658e-4
8.7,510,7.205446235876963e-4
8.7,683,5.512989375951045e-6
8.8,443,5.627623350973922e-4
8.8,510,7.163193623187123e-4
8.8,683,5.528522525859783e-6
8.9,443,5.581418903614522e-4
8.9,510,7.121033599312164e-4
8.9,683,5.536084348627875e-6
9,443,5.535315634809524e-4
9,510,7.078948295876173e-4
9,683,5.531229207360021e-6
9.100000000000001,443,5.489367991376945e-4
9.100000000000001,510,7.03699531372934e-4
9.100000000000001,683,5.514710246661143e-6
9.2,443,5.443715065053332e-4
9.2,510,6.995254470230588e-4
9.2,683,5.489101995549274e-6
9.3,443,5.398544643116708e-4
9.3,510,6.953733837121155e-4
9.3,683,5.464444024799917e-6
9.4,443,5.353949400961821e-4
9.4,510,6.912443951084455e-4
9.4,683,5.448571954561226e-6
9.5,443,5.310057976903712e-4
9.5,510,6.871413667247342e-4
9.5,683,5.4312883521069854e-6
9.600000000000001,443,5.266677978704236e-4
9.600000000000001,510,6.830507373500653e-4
9.600000000000001,683,5.407285420954594e-6
9.7,443,5.223860420340063e-4
9.7,510,6.789642235761258e-4
9.7,683,5.370670592319672e-6
9.8,443,5.181577602536165e-4
9.8,510,6.748684062231129e-4
9.8,683,5.322975276449817e-6
9.9,443,5.139887343225701e-4
9.9,510,6.707575152704928e-4
9.9,683,5.274024360896565e-6
10,443,5.09873437435177e-4
10,510,6.666222401241506e-4
10,683,5.23664068194494e-6
10.2,443,5.017449068213536e-4
10.2,510,6.582671509289887e-4
10.2,683,5.183334023807192e-6
10.4,443,4.936444684348743e-4
10.4,510,6.498323595259144e-4
10.4,683,5.117294173733291e-6
10.6,443,4.855995834238047e-4
10.6,510,6.414103290757616e-4
10.6,683,4.996540251190958e-6
10.8,443,4.7745239805725053e-4
10.8,510,6.330526976176141e-4
10.8,683,4.808756668845728e-6
11,443,4.693174191463759e-4
11,510,6.248509818563244e-4
11,683,4.5875075870467564e-6
11.2,443,4.612079908693054e-4
11.2,510,6.168929763049847e-4
11.2,683,4.373221314519614e-6
11.4,443,4.531720315936009e-4
11.4,510,6.091414561410953e-4
11.4,683,4.150582530189967e-6
11.6,443,4.4523497501483886e-4
11.6,510,6.015365663859476e-4
11.6,683,3.95778661643728e-6
11.8,443,4.374334553525809e-4
11.8,510,5.940580447931248e-4
11.8,683,3.7744668025942293e-6
12,443,4.2999772121123277e-4
12,510,5.867438845549227e-4
12,683,3.63531516384781e-6
